"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N4","小鳥","ことり","","small bird; little bird",""
"word","Jisho-N4","高校生","こうこうせい","","senior high school student",""
"word","Jisho-N4","乗り換える","のりかえる","","to transfer (trains); to change (bus, train)",""
"word","Jisho-N4","枝","えだ","","branch; bough; limb",""
"word","Jisho-N4","寺","てら","","temple (Buddhist)",""
"word","Jisho-N4","通う","かよう","","to go to and from (a place); to go back and forth between; to run between (e.g. bus, train, etc.)",""
"word","Jisho-N4","終わり","おわり","","end; ending; close",""
"word","Jisho-N4","店員","てんいん","","employee (of a store); shop assistant; clerk",""
"word","Jisho-N4","帰り","かえり","","return; coming back",""
"word","Jisho-N4","着物","きもの","","kimono; Japanese traditional clothing (esp. full-length)",""
"word","Jisho-N4","騒ぐ","さわぐ","","to make noise; to make racket; to be noisy",""
"word","Jisho-N4","柔らかい","やわらかい","","soft; tender; supple",""
"word","Jisho-N4","丁寧","ていねい","","polite; courteous; civil",""
"word","Jisho-N4","裏","うら","","opposite side; bottom; other side",""
"word","Jisho-N4","真ん中","まんなか","","middle; centre; center",""
"word","Jisho-N4","冷える","ひえる","","to grow cold; to get chilly; to cool down",""
"word","Jisho-N4","遠慮","えんりょ","","reserve; constraint; restraint",""
"word","Jisho-N4","飾る","かざる","","to decorate; to ornament; to adorn",""
"word","Jisho-N4","表","おもて","","surface; face (i.e. the visible side of an object)",""
"word","Jisho-N4","都合","つごう","","circumstances; condition; convenience",""
"word","Jisho-N4","暮れる","くれる","","to get dark; to grow dark",""
"word","Jisho-N4","昼間","ひるま","","daytime; during the day; time from sunrise until sunset",""
"word","Jisho-N4","部長","ぶちょう","","head (chief, director) of a section or department; head of a (school) club; head of a (school) team",""
"word","Jisho-N4","急","きゅう","","sudden; abrupt; unexpected",""
"word","Jisho-N4","引き出し","ひきだし","","drawer; withdrawal (of money from an account)",""
"word","Jisho-N4","久しぶり","ひさしぶり","","a long time (since the last time); first in a long time",""
"word","Jisho-N4","会場","かいじょう","","assembly hall; meeting place; venue",""
